"name","time","lat","lng","altitude","velocity_smooth","grade_smooth"
"Mitcham - China Town 26/1/13","0.00000000000000","51.40443700000000","-0.13781700000000","29.10000000000000","0.00000000000000","1.20000000000000"
"Mitcham - China Town 26/1/13","6.10000000000000","51.40439000000000","-0.13777200000000","29.20000000000000","2.03100000000000","1.20000000000000"
"Mitcham - China Town 26/1/13","13.90000000000000","51.40443100000000","-0.13768100000000","29.30000000000000","2.31400000000000","1.10000000000000"
"Mitcham - China Town 26/1/13","18.00000000000000","51.40445900000000","-0.13764200000000","29.30000000000000","1.98700000000000","1.10000000000000"
"Mitcham - China Town 26/1/13","24.80000000000000","51.40450800000000","-0.13758500000000","29.40000000000000","1.81100000000000","1.10000000000000"
"Mitcham - China Town 26/1/13","41.10000000000000","51.40464800000000","-0.13765400000000","29.30000000000000","3.84000000000000","1.10000000000000"
"Mitcham - China Town 26/1/13","61.70000000000000","51.40479500000000","-0.13783600000000","29.10000000000000","6.16200000000000","-0.90000000000000"
"Mitcham - China Town 26/1/13","81.70000000000000","51.40494100000000","-0.13800400000000","28.90000000000000","6.77900000000000","-1.00000000000000"
"Mitcham - China Town 26/1/13","102.10000000000000","51.40507900000000","-0.13819700000000","28.70000000000000","6.73100000000000","-1.00000000000000"
"Mitcham - China Town 26/1/13","125.50000000000000","51.40525200000000","-0.13838900000000","28.40000000000000","7.30000000000000","-1.00000000000000"
"Mitcham - China Town 26/1/13","149.60000000000000","51.40543500000000","-0.13857400000000","28.20000000000000","7.91600000000000","-0.90000000000000"
"Mitcham - China Town 26/1/13","173.20000000000000","51.40560800000000","-0.13877000000000","28.00000000000000","7.94300000000000","-0.70000000000000"
"Mitcham - China Town 26/1/13","197.70000000000000","51.40577900000000","-0.13899300000000","27.80000000000000","8.01800000000000","-0.40000000000000"
"Mitcham - China Town 26/1/13","223.30000000000000","51.40594000000000","-0.13925600000000","27.80000000000000","8.35300000000000","-0.20000000000000"
"Mitcham - China Town 26/1/13","248.80000000000000","51.40609400000000","-0.13952700000000","27.80000000000000","8.50600000000000","0.00000000000000"
"Mitcham - China Town 26/1/13","273.10000000000000","51.40625100000000","-0.13977200000000","27.80000000000000","8.30600000000000","0.20000000000000"
"Mitcham - China Town 26/1/13","299.00000000000000","51.40642100000000","-0.14002500000000","27.90000000000000","8.36700000000000","0.30000000000000"
"Mitcham - China Town 26/1/13","323.30000000000000","51.40657600000000","-0.14027300000000","28.00000000000000","8.36500000000000","0.80000000000000"
"Mitcham - China Town 26/1/13","350.00000000000000","51.40674100000000","-0.14055100000000","28.20000000000000","8.50200000000000","1.00000000000000"
"Mitcham - China Town 26/1/13","376.00000000000000","51.40690300000000","-0.14082100000000","28.60000000000000","8.77500000000000","0.70000000000000"
"Mitcham - China Town 26/1/13","401.80000000000000","51.40705900000000","-0.14109600000000","28.90000000000000","8.63600000000000","0.00000000000000"
"Mitcham - China Town 26/1/13","428.50000000000000","51.40722600000000","-0.14137300000000","28.70000000000000","8.75800000000000","-0.90000000000000"
"Mitcham - China Town 26/1/13","455.80000000000000","51.40740200000000","-0.14164700000000","28.10000000000000","9.00800000000000","-1.70000000000000"
"Mitcham - China Town 26/1/13","481.80000000000000","51.40758000000000","-0.14188900000000","27.60000000000000","8.88000000000000","-1.60000000000000"
"Mitcham - China Town 26/1/13","506.60000000000000","51.40776800000000","-0.14208000000000","27.20000000000000","8.45800000000000","-0.50000000000000"
"Mitcham - China Town 26/1/13","530.10000000000000","51.40795800000000","-0.14222700000000","27.10000000000000","8.04200000000000","0.60000000000000"
"Mitcham - China Town 26/1/13","556.30000000000000","51.40819000000000","-0.14229300000000","27.70000000000000","8.28400000000000","1.60000000000000"
"Mitcham - China Town 26/1/13","582.90000000000000","51.40842900000000","-0.14230300000000","28.20000000000000","8.80500000000000","2.10000000000000"
"Mitcham - China Town 26/1/13","609.60000000000000","51.40866900000000","-0.14229800000000","28.80000000000000","8.88700000000000","2.10000000000000"
"Mitcham - China Town 26/1/13","638.10000000000000","51.40892500000000","-0.14227900000000","29.40000000000000","9.20600000000000","2.10000000000000"
"Mitcham - China Town 26/1/13","664.10000000000000","51.40915300000000","-0.14219700000000","30.00000000000000","9.08800000000000","2.00000000000000"
"Mitcham - China Town 26/1/13","692.30000000000000","51.40938400000000","-0.14203000000000","30.50000000000000","9.03500000000000","1.10000000000000"
"Mitcham - China Town 26/1/13","720.20000000000000","51.40960000000000","-0.14182600000000","31.00000000000000","9.35100000000000","0.40000000000000"
"Mitcham - China Town 26/1/13","747.90000000000000","51.40982100000000","-0.14164400000000","30.60000000000000","9.25900000000000","-0.30000000000000"
"Mitcham - China Town 26/1/13","771.20000000000000","51.40999500000000","-0.14145800000000","30.40000000000000","8.48800000000000","-1.00000000000000"
"Mitcham - China Town 26/1/13","803.20000000000000","51.41024700000000","-0.14123500000000","30.20000000000000","9.21800000000000","-1.10000000000000"
"Mitcham - China Town 26/1/13","832.30000000000000","51.41047800000000","-0.14104000000000","29.90000000000000","10.18200000000000","-1.40000000000000"
"Mitcham - China Town 26/1/13","862.70000000000000","51.41072000000000","-0.14083400000000","29.30000000000000","9.92500000000000","-1.70000000000000"
"Mitcham - China Town 26/1/13","892.20000000000000","51.41095400000000","-0.14063600000000","28.70000000000000","9.99000000000000","-1.50000000000000"
"Mitcham - China Town 26/1/13","920.40000000000000","51.41118200000000","-0.14045700000000","28.20000000000000","9.61700000000000","-0.80000000000000"
"Mitcham - China Town 26/1/13","946.90000000000000","51.41140200000000","-0.14031100000000","28.10000000000000","9.12600000000000","-0.10000000000000"
